espn_id,name,season,regular_season_games,postseason_games
4692835,Jalen Brooks,2020,5,0
4692835,Jalen Brooks,2021,5,0
4692835,Jalen Brooks,2022,12,0
4240657,Michael Carter,2017,11,0
4240657,Michael Carter,2018,9,0
4240657,Michael Carter,2019,12,1
4240657,Michael Carter,2020,11,0
3914151,Josiah Deguara,2016,4,0
3914151,Josiah Deguara,2017,5,0
3914151,Josiah Deguara,2018,12,1
3914151,Josiah Deguara,2019,12,1
4362478,Emari Demercado,2018,8,1
4362478,Emari Demercado,2019,4,0
4362478,Emari Demercado,2020,8,0
4362478,Emari Demercado,2021,10,0
4362478,Emari Demercado,2022,13,2
4605858,Rivaldo Fairweather,2020,3,0
4605858,Rivaldo Fairweather,2021,7,0
4605858,Rivaldo Fairweather,2022,10,0
4605858,Rivaldo Fairweather,2023,10,1
4605858,Rivaldo Fairweather,2024,12,0
4432705,Bryson Green,2021,5,1
4432705,Bryson Green,2022,10,0
4432705,Bryson Green,2023,9,1
4432705,Bryson Green,2024,6,0
4426844,Elijah Higgins,2020,4,0
4426844,Elijah Higgins,2021,10,0
4426844,Elijah Higgins,2022,12,0
4431431,Corey Kiner,2021,10,1
4431431,Corey Kiner,2022,9,1
4431431,Corey Kiner,2023,12,0
4431431,Corey Kiner,2024,12,0
4361307,Trey McBride,2018,5,0
4361307,Trey McBride,2019,12,0
4361307,Trey McBride,2020,4,0
4361307,Trey McBride,2021,12,0
4875912,Tejhaun Palmer,2021,3,1
4875912,Tejhaun Palmer,2022,9,1
4875912,Tejhaun Palmer,2023,12,0
4428512,Kedon Slovis,2019,11,1
4428512,Kedon Slovis,2020,6,0
4428512,Kedon Slovis,2021,9,0
4428512,Kedon Slovis,2022,11,0
4428512,Kedon Slovis,2023,8,0
4240573,Ihmir Smith-Marsette,2017,10,0
4240573,Ihmir Smith-Marsette,2018,11,1
4240573,Ihmir Smith-Marsette,2019,12,1
4240573,Ihmir Smith-Marsette,2020,7,0
4428811,Xavier Weaver,2019,8,0
4428811,Xavier Weaver,2020,6,0
4428811,Xavier Weaver,2021,10,0
4428811,Xavier Weaver,2022,9,0
4428811,Xavier Weaver,2023,11,0
4360761,Michael Wilson,2018,8,1
4360761,Michael Wilson,2019,11,0
4360761,Michael Wilson,2020,4,0
4360761,Michael Wilson,2021,4,0
4360761,Michael Wilson,2022,6,0
3886809,Andre Baccellia,2016,6,1
3886809,Andre Baccellia,2017,5,1
3886809,Andre Baccellia,2018,13,1
3886809,Andre Baccellia,2019,10,1
4429275,Trey Benson,2021,2,0
4429275,Trey Benson,2022,12,1
4429275,Trey Benson,2023,13,0
4037235,Greg Dortch,2017,8,0
4037235,Greg Dortch,2018,12,0
4360739,Simi Fehoko,2018,1,0
4360739,Simi Fehoko,2019,9,0
4360739,Simi Fehoko,2020,6,0
4432708,Marvin Harrison Jr.,2021,3,1
4432708,Marvin Harrison Jr.,2022,12,1
4432708,Marvin Harrison Jr.,2023,12,0
4427728,Bam Knight,2019,12,0
4427728,Bam Knight,2020,11,1
4427728,Bam Knight,2021,12,0
3917315,Kyler Murray,2015,8,0
3917315,Kyler Murray,2017,6,1
3917315,Kyler Murray,2018,13,1
4696700,Tip Reiman,2021,3,0
4696700,Tip Reiman,2022,9,1
4696700,Tip Reiman,2023,11,0
4259324,Travis Vokolek,2017,1,0
4259324,Travis Vokolek,2018,7,0
4259324,Travis Vokolek,2020,5,0
4259324,Travis Vokolek,2021,7,0
4259324,Travis Vokolek,2022,8,0
4373626,Tyler Allgeier,2018,2,1
4373626,Tyler Allgeier,2019,2,1
4373626,Tyler Allgeier,2020,10,1
4373626,Tyler Allgeier,2021,12,1
4369886,Chris Blair,2018,11,1
4369886,Chris Blair,2019,11,1
4605841,Nathan Carter,2021,12,0
4605841,Nathan Carter,2022,4,0
4605841,Nathan Carter,2023,12,0
4605841,Nathan Carter,2024,12,0
4363551,Dylan Drummond,2018,8,1
4363551,Dylan Drummond,2019,12,1
4363551,Dylan Drummond,2020,3,0
4363551,Dylan Drummond,2021,12,1
4363551,Dylan Drummond,2022,8,1
4034948,Feleipe Franks,2016,1,0
4034948,Feleipe Franks,2017,11,0
4034948,Feleipe Franks,2018,12,1
4034948,Feleipe Franks,2019,3,0
4034948,Feleipe Franks,2020,9,0
4689334,Malik Heath,2020,9,1
4689334,Malik Heath,2021,10,0
4689334,Malik Heath,2022,11,1
4426502,Drake London,2019,7,1
4426502,Drake London,2020,6,0
4426502,Drake London,2021,8,0
4040655,Darnell Mooney,2016,9,0
4040655,Darnell Mooney,2017,10,0
4040655,Darnell Mooney,2018,12,1
4040655,Darnell Mooney,2019,12,1
4360248,Kyle Pitts Sr.,2018,3,0
4360248,Kyle Pitts Sr.,2019,12,1
4360248,Kyle Pitts Sr.,2020,8,0
4374045,Teagan Quitoriano,2018,2,0
4374045,Teagan Quitoriano,2019,5,0
4374045,Teagan Quitoriano,2020,6,0
4374045,Teagan Quitoriano,2021,9,1
4430807,Bijan Robinson,2020,8,1
4430807,Bijan Robinson,2021,10,0
4430807,Bijan Robinson,2022,12,0
3871102,David Sills V,2015,3,1
3871102,David Sills V,2017,12,0
3871102,David Sills V,2018,11,1
4430482,Joshua Simon,2019,11,1
4430482,Joshua Simon,2020,9,1
4430482,Joshua Simon,2021,1,0
4430482,Joshua Simon,2022,10,1
4430482,Joshua Simon,2023,10,0
4430482,Joshua Simon,2024,11,1
3120590,Easton Stick,2015,8,2
3120590,Easton Stick,2016,13,1
3120590,Easton Stick,2017,13,2
3120590,Easton Stick,2018,13,2
4374187,Deven Thompkins,2018,8,0
4374187,Deven Thompkins,2019,11,1
4374187,Deven Thompkins,2020,4,0
4374187,Deven Thompkins,2021,12,1
4428796,Casey Washington,2019,5,1
4428796,Casey Washington,2020,5,0
4428796,Casey Washington,2021,11,0
4428796,Casey Washington,2022,11,1
4428796,Casey Washington,2023,12,0
4248425,Carlos Washington Jr.,2018,11,0
4248425,Carlos Washington Jr.,2019,10,0
4248425,Carlos Washington Jr.,2020,1,0
4248425,Carlos Washington Jr.,2021,10,0
4248425,Carlos Washington Jr.,2022,12,0
4035020,Charlie Woerner,2016,5,0
4035020,Charlie Woerner,2017,4,1
4035020,Charlie Woerner,2018,7,1
4035020,Charlie Woerner,2019,6,0
4360423,Michael Penix Jr.,2018,3,0
4360423,Michael Penix Jr.,2019,6,0
4360423,Michael Penix Jr.,2020,6,0
4360423,Michael Penix Jr.,2021,5,0
4360423,Michael Penix Jr.,2022,12,1
4360423,Michael Penix Jr.,2023,13,2
4690013,Rasheen Ali,2020,1,0
4690013,Rasheen Ali,2021,12,1
4690013,Rasheen Ali,2022,2,1
4690013,Rasheen Ali,2023,11,1
3116365,Mark Andrews,2015,8,1
3116365,Mark Andrews,2016,11,1
3116365,Mark Andrews,2017,13,1
4360939,Rashod Bateman,2018,12,1
4360939,Rashod Bateman,2019,12,1
4360939,Rashod Bateman,2020,5,0
4429615,Zay Flowers,2019,12,1
4429615,Zay Flowers,2020,11,0
4429615,Zay Flowers,2021,12,0
4429615,Zay Flowers,2022,12,0
4035671,Tyler Huntley,2016,3,1
4035671,Tyler Huntley,2017,9,1
4035671,Tyler Huntley,2018,9,0
4035671,Tyler Huntley,2019,13,1
3916387,Lamar Jackson,2015,11,1
3916387,Lamar Jackson,2016,12,1
3916387,Lamar Jackson,2017,12,1
4426479,Cornelius Johnson,2019,3,0
4426479,Cornelius Johnson,2020,4,0
4426479,Cornelius Johnson,2021,13,1
4426479,Cornelius Johnson,2022,12,1
4426479,Cornelius Johnson,2023,12,2
4241263,Charlie Kolar,2018,6,0
4241263,Charlie Kolar,2019,12,1
4241263,Charlie Kolar,2020,10,1
4241263,Charlie Kolar,2021,11,1
4361050,Isaiah Likely,2018,7,0
4361050,Isaiah Likely,2019,12,0
4361050,Isaiah Likely,2020,9,1
4361050,Isaiah Likely,2021,12,1
4596334,Keaton Mitchell,2020,9,0
4596334,Keaton Mitchell,2021,12,0
4596334,Keaton Mitchell,2022,11,1
4696882,Devontez Walker,2021,3,1
4696882,Devontez Walker,2022,12,0
4696882,Devontez Walker,2023,8,0
4241424,Tylan Wallace,2017,4,0
4241424,Tylan Wallace,2018,12,1
4241424,Tylan Wallace,2019,8,0
4241424,Tylan Wallace,2020,8,1
4690143,LaJohntay Wester,2020,6,1
4690143,LaJohntay Wester,2021,12,0
4690143,LaJohntay Wester,2022,12,0
4690143,LaJohntay Wester,2023,12,0
4690143,LaJohntay Wester,2024,12,1
4038441,Justice Hill,2016,12,1
4038441,Justice Hill,2017,12,1
4038441,Justice Hill,2018,10,0
4428763,Dayton Wade,2019,1,0
4428763,Dayton Wade,2020,3,1
4428763,Dayton Wade,2022,8,1
4428763,Dayton Wade,2023,12,1
3918298,Josh Allen,2015,2,0
3918298,Josh Allen,2016,13,1
3918298,Josh Allen,2017,10,1
4039034,Shane Buechele,2016,12,0
4039034,Shane Buechele,2017,8,1
4039034,Shane Buechele,2018,2,0
4039034,Shane Buechele,2019,12,1
4039034,Shane Buechele,2020,10,0
4635008,Keon Coleman,2021,3,1
4635008,Keon Coleman,2022,12,0
4635008,Keon Coleman,2023,12,0
4379399,James Cook III,2018,10,0
4379399,James Cook III,2019,12,1
4379399,James Cook III,2020,8,0
4379399,James Cook III,2021,13,2
4429501,Ray Davis,2019,10,1
4429501,Ray Davis,2020,4,0
4429501,Ray Davis,2021,3,0
4429501,Ray Davis,2022,12,0
4429501,Ray Davis,2023,12,1
4429805,Frank Gore Jr.,2020,10,0
4429805,Frank Gore Jr.,2021,12,0
4429805,Frank Gore Jr.,2022,12,1
4429805,Frank Gore Jr.,2023,12,0
4432215,Stephen Gosnell,2021,1,1
4432215,Stephen Gosnell,2022,6,0
4432215,Stephen Gosnell,2023,11,0
4432215,Stephen Gosnell,2024,11,1
4035004,Mecole Hardman Jr.,2017,11,2
4035004,Mecole Hardman Jr.,2018,12,1
4573699,Jackson Hawes,2021,7,0
4573699,Jackson Hawes,2022,8,0
4573699,Jackson Hawes,2023,7,0
4573699,Jackson Hawes,2024,9,1
3915411,Ty Johnson,2015,8,0
3915411,Ty Johnson,2016,12,1
3915411,Ty Johnson,2017,12,0
3915411,Ty Johnson,2018,9,0
4385690,Dalton Kincaid,2018,10,0
4385690,Dalton Kincaid,2019,12,0
4385690,Dalton Kincaid,2020,1,0
4385690,Dalton Kincaid,2021,12,1
4385690,Dalton Kincaid,2022,12,0
3930086,Dawson Knox,2017,8,0
3930086,Dawson Knox,2018,9,0
4688552,Keleki Latu,2021,2,0
4688552,Keleki Latu,2022,8,0
4688552,Keleki Latu,2023,5,0
4688552,Keleki Latu,2024,10,1
3121427,Curtis Samuel,2014,10,2
3121427,Curtis Samuel,2015,12,1
3121427,Curtis Samuel,2016,12,1
4373678,Khalil Shakir,2018,10,0
4373678,Khalil Shakir,2019,13,1
4373678,Khalil Shakir,2020,7,0
4373678,Khalil Shakir,2021,12,0
4036448,Jalen Virgil,2017,10,1
4036448,Jalen Virgil,2018,8,1
4036448,Jalen Virgil,2019,12,1
4036448,Jalen Virgil,2020,8,1
4036448,Jalen Virgil,2021,7,1
4243537,Gabe Davis,2017,9,1
4243537,Gabe Davis,2018,11,1
4243537,Gabe Davis,2019,12,0
4242433,Joshua Palmer,2017,9,0
4242433,Joshua Palmer,2018,12,0
4242433,Joshua Palmer,2019,10,1
4242433,Joshua Palmer,2020,10,0
4241476,Tyrell Shavers,2019,2,0
4241476,Tyrell Shavers,2020,3,0
4241476,Tyrell Shavers,2021,9,1
4241476,Tyrell Shavers,2022,11,1
3929637,Dan Chisena,2019,3,0
4695883,Jalen Coker,2020,2,0
4695883,Jalen Coker,2021,12,0
4695883,Jalen Coker,2022,11,0
4695883,Jalen Coker,2023,11,0
4038815,Rico Dowdle,2016,8,1
4038815,Rico Dowdle,2017,7,1
4038815,Rico Dowdle,2018,11,1
4038815,Rico Dowdle,2019,10,0
4685350,Trevor Etienne,2022,12,1
4685350,Trevor Etienne,2023,11,0
4685350,Trevor Etienne,2024,9,1
4683243,Mitchell Evans,2021,2,0
4683243,Mitchell Evans,2022,5,1
4683243,Mitchell Evans,2023,7,0
4683243,Mitchell Evans,2024,10,4
4708486,Jimmy Horn Jr.,2021,10,0
4708486,Jimmy Horn Jr.,2022,10,0
4708486,Jimmy Horn Jr.,2023,12,0
4708486,Jimmy Horn Jr.,2024,8,1
4241416,Chuba Hubbard,2018,12,1
4241416,Chuba Hubbard,2019,12,1
4241416,Chuba Hubbard,2020,7,0
4684625,Montrell Johnson Jr.,2021,13,1
4684625,Montrell Johnson Jr.,2022,12,1
4684625,Montrell Johnson Jr.,2023,12,0
4684625,Montrell Johnson Jr.,2024,9,0
4430034,Xavier Legette,2019,3,0
4430034,Xavier Legette,2020,3,0
4430034,Xavier Legette,2021,4,1
4430034,Xavier Legette,2022,7,1
4430034,Xavier Legette,2023,12,0
4685472,Tetairoa McMillan,2022,11,0
4685472,Tetairoa McMillan,2023,12,1
4685472,Tetairoa McMillan,2024,12,0
4361988,James Mitchell,2019,10,1
4361988,James Mitchell,2020,9,0
4361988,James Mitchell,2021,2,0
5082648,Bryce Pierre,2023,9,0
5082648,Bryce Pierre,2024,7,0
4876995,Ja'seem Reed,2021,7,0
4876995,Ja'seem Reed,2022,8,0
4876995,Ja'seem Reed,2023,10,0
4876995,Ja'seem Reed,2024,11,0
4428532,Ainias Smith,2019,6,1
4428532,Ainias Smith,2020,9,1
4428532,Ainias Smith,2021,12,0
4428532,Ainias Smith,2022,4,0
4428532,Ainias Smith,2023,12,0
4360763,Brycen Tremayne,2019,3,0
4360763,Brycen Tremayne,2020,5,0
4360763,Brycen Tremayne,2021,5,0
4360763,Brycen Tremayne,2022,12,0
4372780,Tommy Tremble,2019,8,1
4372780,Tommy Tremble,2020,10,0
4709392,Anthony Tyus III,2021,8,0
4709392,Anthony Tyus III,2022,8,0
4709392,Anthony Tyus III,2023,10,1
4709392,Anthony Tyus III,2024,12,1
4685720,Bryce Young,2020,7,0
4685720,Bryce Young,2021,13,2
4685720,Bryce Young,2022,11,1
4678008,Jonathon Brooks,2021,3,0
4678008,Jonathon Brooks,2022,3,1
4678008,Jonathon Brooks,2023,10,0
4431588,Ja'Tavion Sanders,2022,12,1
4431588,Ja'Tavion Sanders,2023,12,1
3914307,Maurice Alexander,2016,7,0
3914307,Maurice Alexander,2017,4,1
3914307,Maurice Alexander,2018,11,1
3914307,Maurice Alexander,2019,9,0
4036032,Brittain Brown,2017,12,1
4036032,Brittain Brown,2018,8,1
4036032,Brittain Brown,2019,3,0
4036032,Brittain Brown,2020,7,0
4036032,Brittain Brown,2021,10,0
4685278,Luther Burden III,2022,11,1
4685278,Luther Burden III,2023,12,1
4685278,Luther Burden III,2024,12,0
3948283,Stephen Carlson,2018,10,0
4039050,Devin Duvernay,2016,10,0
4039050,Devin Duvernay,2017,8,0
4039050,Devin Duvernay,2018,13,1
4039050,Devin Duvernay,2019,12,1
4037457,Travis Homer,2016,2,0
4037457,Travis Homer,2017,12,1
4037457,Travis Homer,2018,12,1
4379769,Qadir Ismail,2018,2,0
4379769,Qadir Ismail,2021,6,0
4379769,Qadir Ismail,2022,3,0
4379769,Qadir Ismail,2023,6,0
4258595,Cole Kmet,2017,1,0
4258595,Cole Kmet,2018,8,1
4258595,Cole Kmet,2019,9,1
4723086,Colston Loveland,2022,8,1
4723086,Colston Loveland,2023,13,2
4723086,Colston Loveland,2024,10,0
4608686,Kyle Monangai,2021,11,0
4608686,Kyle Monangai,2022,12,0
4608686,Kyle Monangai,2023,12,1
4608686,Kyle Monangai,2024,11,0
3915416,DJ Moore,2015,11,0
3915416,DJ Moore,2016,12,1
3915416,DJ Moore,2017,12,0
4431299,Rome Odunze,2020,2,0
4431299,Rome Odunze,2021,9,0
4431299,Rome Odunze,2022,11,1
4431299,Rome Odunze,2023,13,2
4685183,JP Richardson,2021,5,1
4685183,JP Richardson,2022,12,1
4685183,JP Richardson,2023,12,0
4685183,JP Richardson,2024,12,1
4259545,D'Andre Swift,2017,13,2
4259545,D'Andre Swift,2018,13,1
4259545,D'Andre Swift,2019,13,1
5160110,Jahdae Walker,2023,8,1
5160110,Jahdae Walker,2024,9,1
4431611,Caleb Williams,2021,10,1
4431611,Caleb Williams,2022,13,1
4431611,Caleb Williams,2023,12,0
3917914,Olamide Zaccheaus,2015,11,0
3917914,Olamide Zaccheaus,2016,12,0
3917914,Olamide Zaccheaus,2017,12,1
3917914,Olamide Zaccheaus,2018,12,1
4575667,Deion Hankins,2019,2,0
4575667,Deion Hankins,2020,7,0
4575667,Deion Hankins,2021,9,1
4575667,Deion Hankins,2022,12,0
4575667,Deion Hankins,2023,12,0
4575667,Deion Hankins,2024,9,1
4426386,Roschon Johnson,2019,12,1
4426386,Roschon Johnson,2020,9,1
4426386,Roschon Johnson,2021,11,0
4426386,Roschon Johnson,2022,12,0
4245645,Gary Brightwell,2017,1,0
4245645,Gary Brightwell,2018,11,0
4245645,Gary Brightwell,2019,10,0
4245645,Gary Brightwell,2020,5,0
4429299,Tahj Brooks,2020,7,0
4429299,Tahj Brooks,2021,8,1
4429299,Tahj Brooks,2022,12,1
4429299,Tahj Brooks,2023,12,1
4429299,Tahj Brooks,2024,11,0
4362238,Chase Brown,2018,12,1
4362238,Chase Brown,2019,1,0
4362238,Chase Brown,2020,8,0
4362238,Chase Brown,2021,10,0
4362238,Chase Brown,2022,12,0
3886812,Jake Browning,2015,11,1
3886812,Jake Browning,2016,13,1
3886812,Jake Browning,2017,12,1
3886812,Jake Browning,2018,13,1
3915511,Joe Burrow,2016,5,0
3915511,Joe Burrow,2017,4,0
3915511,Joe Burrow,2018,12,1
3915511,Joe Burrow,2019,13,2
4362628,Ja'Marr Chase,2018,9,1
4362628,Ja'Marr Chase,2019,12,2
4259592,Sean Clifford,2018,3,1
4259592,Sean Clifford,2019,11,1
4259592,Sean Clifford,2020,9,0
4259592,Sean Clifford,2021,12,1
4259592,Sean Clifford,2022,12,1
4036131,Noah Fant,2016,6,0
4036131,Noah Fant,2017,10,1
4036131,Noah Fant,2018,12,0
3116164,Mike Gesicki,2014,8,0
3116164,Mike Gesicki,2015,8,0
3116164,Mike Gesicki,2016,13,1
3116164,Mike Gesicki,2017,12,1
4700712,Cam Grandy,2023,11,0
4239993,Tee Higgins,2017,7,0
4239993,Tee Higgins,2018,13,2
4239993,Tee Higgins,2019,13,2
4368003,Andrei Iosivas,2019,8,0
4368003,Andrei Iosivas,2021,10,0
4368003,Andrei Iosivas,2022,10,0
4385430,Xavier Johnson,2020,1,0
4385430,Xavier Johnson,2022,5,1
4385430,Xavier Johnson,2023,11,1
4257188,Charlie Jones,2018,11,0
4257188,Charlie Jones,2020,1,0
4257188,Charlie Jones,2021,13,0
4257188,Charlie Jones,2022,13,0
4384852,Dohnte Meyers,2018,8,0
4384852,Dohnte Meyers,2019,11,0
4429012,Kendall Milton,2020,6,1
4429012,Kendall Milton,2021,6,1
4429012,Kendall Milton,2022,11,2
4429012,Kendall Milton,2023,11,1
4594444,Jordan Moore,2021,10,0
4594444,Jordan Moore,2022,12,1
4594444,Jordan Moore,2023,12,1
4594444,Jordan Moore,2024,12,1
3116389,Samaje Perine,2014,12,1
3116389,Samaje Perine,2015,12,1
3116389,Samaje Perine,2016,9,1
4035776,Kendric Pryor,2017,8,1
4035776,Kendric Pryor,2018,11,1
4035776,Kendric Pryor,2019,11,1
4035776,Kendric Pryor,2020,3,0
4035776,Kendric Pryor,2021,11,1
3127310,Drew Sample,2015,4,0
3127310,Drew Sample,2016,7,1
3127310,Drew Sample,2017,4,1
3127310,Drew Sample,2018,10,1
4690070,Mitchell Tinsley,2020,11,1
4690070,Mitchell Tinsley,2021,13,1
4690070,Mitchell Tinsley,2022,12,1
4570738,Ke'Shawn Williams,2020,2,0
4570738,Ke'Shawn Williams,2021,12,1
4570738,Ke'Shawn Williams,2022,11,0
4570738,Ke'Shawn Williams,2023,11,0
4570738,Ke'Shawn Williams,2024,11,1
4427834,Erick All Jr.,2019,1,0
4427834,Erick All Jr.,2020,5,0
4427834,Erick All Jr.,2021,11,1
4427834,Erick All Jr.,2022,3,0
4427834,Erick All Jr.,2023,7,0
4362603,Brenden Bates,2020,1,0
4362603,Brenden Bates,2021,7,1
4362603,Brenden Bates,2022,6,0
4362603,Brenden Bates,2023,4,0
4808839,Isaiah Bond,2022,7,1
4808839,Isaiah Bond,2023,13,1
4808839,Isaiah Bond,2024,12,1
4242536,Sal Cannella,2017,3,0
4242536,Sal Cannella,2018,7,1
4242536,Sal Cannella,2019,7,1
4613104,Malachi Corley,2020,2,1
4613104,Malachi Corley,2021,13,1
4613104,Malachi Corley,2022,13,1
4613104,Malachi Corley,2023,11,1
5083076,Harold Fannin Jr.,2022,9,1
5083076,Harold Fannin Jr.,2023,10,1
5083076,Harold Fannin Jr.,2024,12,1
4566157,Luke Floriea,2020,2,0
4566157,Luke Floriea,2021,5,1
4566157,Luke Floriea,2022,5,0
4566157,Luke Floriea,2023,11,0
4566157,Luke Floriea,2024,12,0
4427238,Dillon Gabriel,2019,12,1
4427238,Dillon Gabriel,2020,9,1
4427238,Dillon Gabriel,2021,3,0
4427238,Dillon Gabriel,2022,11,1
4427238,Dillon Gabriel,2023,12,0
4427238,Dillon Gabriel,2024,13,1
4241463,Jerry Jeudy,2017,7,1
4241463,Jerry Jeudy,2018,13,2
4241463,Jerry Jeudy,2019,12,1
4877203,Gage Larvadain,2021,10,0
4877203,Gage Larvadain,2022,13,0
4877203,Gage Larvadain,2023,9,1
4877203,Gage Larvadain,2024,9,1
4432374,Ahmani Marshall,2020,2,0
4432374,Ahmani Marshall,2021,6,0
4432374,Ahmani Marshall,2022,9,0
4432374,Ahmani Marshall,2023,6,0
4432374,Ahmani Marshall,2024,11,0
3123076,David Njoku,2015,9,1
3123076,David Njoku,2016,11,1
4687509,Caden Prieskorn,2020,1,0
4687509,Caden Prieskorn,2021,3,0
4687509,Caden Prieskorn,2022,12,1
4687509,Caden Prieskorn,2023,7,1
4687509,Caden Prieskorn,2024,11,1
5081397,Dylan Sampson,2022,8,0
5081397,Dylan Sampson,2023,11,1
5081397,Dylan Sampson,2024,12,1
4601080,Raheim Sanders,2021,12,1
4601080,Raheim Sanders,2022,12,1
4601080,Raheim Sanders,2023,6,0
4601080,Raheim Sanders,2024,12,0
4432762,Shedeur Sanders,2021,12,1
4432762,Shedeur Sanders,2022,12,1
4432762,Shedeur Sanders,2023,11,0
4432762,Shedeur Sanders,2024,12,1
4428678,Jamari Thrash,2019,1,0
4428678,Jamari Thrash,2020,5,1
4428678,Jamari Thrash,2021,10,1
4428678,Jamari Thrash,2022,12,0
4428678,Jamari Thrash,2023,12,0
4369863,Cedric Tillman,2018,1,0
4369863,Cedric Tillman,2019,3,0
4369863,Cedric Tillman,2020,2,0
4369863,Cedric Tillman,2021,11,1
4369863,Cedric Tillman,2022,6,0
4362018,Blake Whiteheart,2020,4,0
4362018,Blake Whiteheart,2021,8,1
4362018,Blake Whiteheart,2022,10,1
4035222,Trayveon Williams,2016,12,1
4035222,Trayveon Williams,2017,10,1
4035222,Trayveon Williams,2018,12,1
4576845,Isaiah Wooden,2020,2,0
4576845,Isaiah Wooden,2022,10,0
4576845,Isaiah Wooden,2023,11,0
4372019,Jerome Ford,2018,3,0
4372019,Jerome Ford,2019,4,0
4372019,Jerome Ford,2020,9,1
4372019,Jerome Ford,2021,12,1
4685702,Quinshon Judkins,2022,12,1
4685702,Quinshon Judkins,2023,12,1
4685702,Quinshon Judkins,2024,12,4
3122840,Deshaun Watson,2014,7,0
3122840,Deshaun Watson,2015,13,2
3122840,Deshaun Watson,2016,13,2
4429202,Israel Abanikanda,2020,6,0
4429202,Israel Abanikanda,2021,12,1
4429202,Israel Abanikanda,2022,11,0
4685279,Jaydon Blue,2022,3,0
4685279,Jaydon Blue,2023,10,1
4685279,Jaydon Blue,2024,12,3
3121410,Parris Campbell,2016,8,0
3121410,Parris Campbell,2017,12,1
3121410,Parris Campbell,2018,13,1
4242355,Jake Ferguson,2018,12,1
4242355,Jake Ferguson,2019,13,1
4242355,Jake Ferguson,2020,6,1
4242355,Jake Ferguson,2021,12,1
5083754,Ryan Flournoy,2022,11,0
